primary,count,cumulative_count,cumulative_percent,tag
ecuadorian_restaurant,6,2097601,99.96378125594214,Social & Leisure
abortion_clinic,6,2097607,99.96406719339522,Health services
shaved_ice_shop,6,2097613,99.96435313084831,Social & Leisure
indo_chinese_restaurant,6,2097619,99.9646390683014,Social & Leisure
singaporean_restaurant,6,2097625,99.9649250057545,Social & Leisure
furniture_rental_service,6,2097631,99.96521094320758,Essential needs
direct_mail_advertising,6,2097637,99.96549688066067,Other
childbirth_education,6,2097643,99.96578281811375,Health services
vehicle_wrap,6,2097649,99.96606875556684,Other
threads_and_yarns_wholesaler,6,2097655,99.96635469301994,Essential needs
costume_museum,6,2097661,99.96664063047302,Social & Leisure
newspaper_advertising,6,2097667,99.96692656792611,Other
indoor_landscaping,6,2097673,99.9672125053792,Other
drone_store,6,2097679,99.9674984428323,Social & Leisure
aluminum_supplier,6,2097685,99.96778438028538,Civic and utility
pet_hospice,6,2097691,99.96807031773847,Health services
piadina_restaurant,6,2097697,99.96835625519155,Social & Leisure
feng_shui,6,2097703,99.96864219264464,Social & Leisure
music_festivals_and_organizations,6,2097709,99.96892813009774,Social & Leisure
rv_storage_facility,6,2097715,99.96921406755081,Civic and utility
watch_repair_service,6,2097721,99.96950000500391,Other
hybrid_car_repair,6,2097727,99.969785942457,Civic and utility
b2b_agriculture_and_food,6,2097733,99.97007187991008,Essential needs
paint_your_own_pottery,5,2097738,99.97031016112099,Social & Leisure
kurdish_restaurant,5,2097743,99.9705484423319,Social & Leisure
instrumentation_engineers,5,2097748,99.9707867235428,Other
otologist,5,2097753,99.97102500475371,Health services
tiki_bar,5,2097758,99.97126328596462,Social & Leisure
aviation_museum,5,2097763,99.97150156717552,Social & Leisure
food_banks,5,2097768,99.97173984838643,Essential needs
supernatural_reading,5,2097773,99.97197812959733,Social & Leisure
laser_cutting_service_provider,5,2097778,99.97221641080824,Other
sugaring,5,2097783,99.97245469201916,Social & Leisure
aircraft_manufacturer,5,2097788,99.97269297323005,Other
manufacturers_agents_and_representatives,5,2097793,99.97293125444097,Other
professional_sports_league,5,2097798,99.97316953565188,Social & Leisure
used_bookstore,5,2097803,99.97340781686277,Social & Leisure
industrial_spares_and_products_wholesaler,5,2097808,99.97364609807369,Essential needs
weather_station,5,2097813,99.9738843792846,Civic and utility
tobacco_company,5,2097818,99.9741226604955,Other
private_jet_charters,5,2097823,99.97436094170641,Social & Leisure
photographer,5,2097828,99.97459922291732,Social & Leisure
haitian_restaurant,5,2097833,99.97483750412822,Social & Leisure
town_car_service,5,2097838,99.97507578533913,Civic and utility
childrens_hospital,5,2097843,99.97531406655004,Health services
spiritual_shop,5,2097848,99.97555234776094,Social & Leisure
homeowner_association,5,2097853,99.97579062897185,Civic and utility
